filename,label,filepath,transcript
audio_710.wav,1.0,/kaggle/input/dataset/Dataset/audios/train/audio_710.wav, you
audio_1265.wav,1.0,/kaggle/input/dataset/Dataset/audios/train/audio_1265.wav, My favorite hobby is cultivation of plants such as gardening. I can gain immense of plants to plant and the flowers and herbs to vegetables.
audio_1114.wav,1.5,/kaggle/input/dataset/Dataset/audios/train/audio_1114.wav," My goal is to become an electrical employee. Also I am studying the Electrical Electronics Engineering. To become an electrical engineer, I have to study about electrical. To achieve my goal is to have a good electronics. We have prepared the topics thoroughly to reach the goals."
audio_946.wav,1.5,/kaggle/input/dataset/Dataset/audios/train/audio_946.wav, The playground looks like very clear and neat as there are lot of colorful things like a basketball court for playing or we can do gym swing on swings group of friends together play very well and they love each other
audio_1127.wav,2.0,/kaggle/input/dataset/Dataset/audios/train/audio_1127.wav, My goal is to bring my parents to live with me and this is the only goal I have in my life and it's long term goal or short term goal whatever you want to say. My parents send me to study far from home because of my future. So that's my responsibility for their happiness I will bring to them with me because every parents love their child no matter how they want to live also with you and the challenges I face during this is competition. There is very high competition in the market but I still but this thing motivates me to focus and determine on the path to achieving my goal.
audio_669.wav,2.0,/kaggle/input/dataset/Dataset/audios/train/audio_669.wav," Today I am going to speak about the topic named crowded market. The market is always crowded with carts, horses, donkeys and camels and also cows. They came loaded with the produce of the season such as vegetables and cotton and fishes, oilseed, vegetables etc. Whenever I visited the crowded market, I find the shouting loudly to sell their goods. They sell their goods by shouting it loudly. They try to attract the people by several names and they also speak about the type of the item they are selling and the price of that item also and how much amount it cost for kg or for litre also."
audio_1029.wav,2.0,/kaggle/input/dataset/Dataset/audios/train/audio_1029.wav," I would like to go to the Sachi for the Sachi Stoop. It is a very famous place in the MP and there are local food will be good, very best food like Pav Haji and the latest it is like a sandwich and Maima sandwich is the famous food of the Sachi. And this is made by Samrat Ashok. They are the powerful emperor of the India. Its empire becomes over all the India and out of the India. He will be establish our empire to defeat the many kings and after that he made a stoop called a Sachi Stoop for Buddha. It is established in the Sachi."
audio_713.wav,2.0,/kaggle/input/dataset/Dataset/audios/train/audio_713.wav, There is someone who stole some product at the market and they hear the loud voice of the vendor shouting at the man. The consumers became scared and they ran.
audio_845.wav,2.5,/kaggle/input/dataset/Dataset/audios/train/audio_845.wav," The best day of my life is my 10th results. It was May 14, 2019. I think I think it was May 14, 2019. I got 10 by 10 CGPA, but I didn't like because I don't want to compare with others. My friends got 10 CGPA only, but my parents are compared with all members. If they have got very very better than me, then they will scold me. Otherwise, they will be very happy. And only if I got 8.9 CGPA, but we compare with the toppers, they got 9. When why did you give it to you? You didn't get 9 CGPA. They will scold me. If I didn't get 10 CGPA, then I would be very happy. And then I don't want to compare with others. Talent describes you more. When you."
audio_150.wav,2.0,/kaggle/input/dataset/Dataset/audios/train/audio_150.wav," 1. and that time you should be at the same time and that time I was at the same time I was at the same time and that time I was at the same time I was not away or not away One okong One okong Hua Wang Hua Wang One okong One okong Hua Wang Hua Wang Hua Wufu ب perché Так Master puffed a sweet laugh, screaming. Quickly turn the fire. Just a whistle trill. That was it. Then open up your 구독 ś jumping thoseious"
